nace_code,nace_description,regulator,cps_scope,recorded_emissions_2021,recorded_emissions_2022,recorded_emissions_2023,recorded_emissions_2024,n_installations
3511,Production of electricity,EA,CPS_COVERED,39006626.0,39063288.0,30582842.0,24534735.0,159
3511,Production of electricity,NRW,CPS_COVERED,6192832.0,6801557.0,4857907.0,4381271.0,21
3511,Production of electricity,SEPA,CPS_COVERED,2536335.0,2710415.0,1906613.0,1629559.0,23
