regulator,account_holder,account_type,account_status,operator_id,permit_id,installation_name,first_year,last_year,recorded_emissions_2021,recorded_emissions_2022,recorded_emissions_2023,recorded_emissions_2024,cumulative_emissions,cumulative_surrenders,surrender_status_2021,surrender_status_2022,surrender_status_2023,surrender_status_2024,nace_code,nace_description,regulated_activity,alloc_entitlement_2025,alloc_delivered_2025,alloc_entitlement_2026,alloc_delivered_2026,cps_scope,cps_scope_rule
EA,Hartmoor Generation Limited,OPERATOR_HOLDING_ACCOUNT,OPEN,1000904,UK-E-IN-14044,Hartmoor,2022,,,35203.0,10827.0,14052.0,60082,60082,NOT_APPLICABLE,A,A,A,3511,Production of electricity,COMBUSTION_OF_FUELS,0,0,0,0,CPS_COVERED,R5_electricity_combustion
SEPA,Velox Power Limited,OPERATOR_HOLDING_ACCOUNT,OPEN,1000908,UK-S-IN-13866,East Mains Power,2023,,,,0.0,1980.0,1980,1980,NOT_APPLICABLE,NOT_APPLICABLE,A,A,3511,Production of electricity,COMBUSTION_OF_FUELS,0,0,0,0,CPS_COVERED,R5_electricity_combustion
EA,ALPRO (UK) LIMITED,OPERATOR_HOLDING_ACCOUNT,CLOSED,1000911,UK-E-IN-13854,Alpro UK,2022,2022,,0.0,,,0,0,NOT_APPLICABLE,A,,A,,,COMBUSTION_OF_FUELS,0,0,0,0,CPS_NOT_APPLICABLE,R6_industrial_combustion
EA,CSC Computer Sciences Limited,OPERATOR_HOLDING_ACCOUNT,OPEN,1000914,UK-E-IN-13809,CSC Computer Sciences Ltd,2021,,2.0,61.0,11.0,34.0,108,108,C,A,A,A,6311,"Data processing, hosting and related activities",COMBUSTION_OF_FUELS,0,0,0,0,CPS_NOT_APPLICABLE,R6_industrial_combustion
EA,Entserv UK Limited,OPERATOR_HOLDING_ACCOUNT,OPEN,1000915,UK-E-IN-13810,Entserv UK Limited,2021,,4.0,61.0,123.0,75.0,263,263,C,A,A,A,6311,"Data processing, hosting and related activities",COMBUSTION_OF_FUELS,0,0,0,0,CPS_NOT_APPLICABLE,R6_industrial_combustion
EA,CSC Computer Sciences Limited,OPERATOR_HOLDING_ACCOUNT,OPEN,1000917,UK-E-IN-13807,CSC Computer Sciences Ltd,2021,,3.0,36.0,98.0,67.0,204,204,C,A,A,A,6311,"Data processing, hosting and related activities",COMBUSTION_OF_FUELS,0,0,0,0,CPS_NOT_APPLICABLE,R6_industrial_combustion
EA,Entserv UK Limited,OPERATOR_HOLDING_ACCOUNT,OPEN,1000918,UK-E-IN-13806,Entserv UK Limited,2021,,2.0,4.0,129.0,0.0,135,135,C,A,A,A,6311,"Data processing, hosting and related activities",COMBUSTION_OF_FUELS,0,0,0,0,CPS_NOT_APPLICABLE,R6_industrial_combustion
SEPA,Leven Generation Limited,OPERATOR_HOLDING_ACCOUNT,OPEN,1000935,UK-S-IN-13977,Leven Generation Limited,2022,,,14947.0,7426.0,3085.0,25458,25458,NOT_APPLICABLE,A,A,A,3511,Production of electricity,COMBUSTION_OF_FUELS,0,0,0,0,CPS_COVERED,R5_electricity_combustion
EA,Velox Power Limited,OPERATOR_HOLDING_ACCOUNT,OPEN,1000939,UK-E-IN-13856,Itchen Power,2022,,,8433.0,5459.0,2448.0,16340,16340,NOT_APPLICABLE,A,A,A,3511,Production of electricity,COMBUSTION_OF_FUELS,0,0,0,0,CPS_COVERED,R5_electricity_combustion
NRW,Flexible Generation Ltd,OPERATOR_HOLDING_ACCOUNT,OPEN,1000943,UK-W-IN-14041,Crumlin Power Station,2022,,,291.0,45.0,119.0,455,455,NOT_APPLICABLE,A,A,A,3511,Production of electricity,COMBUSTION_OF_FUELS,0,0,0,0,CPS_COVERED,R5_electricity_combustion
EA,Amazon Data Services UK Limited,OPERATOR_HOLDING_ACCOUNT,OPEN,1001026,UK-E-IN-14193,Bracknell Datacentre,2022,,,6.0,19.0,21.0,46,47,NOT_APPLICABLE,A,A,A,6311,"Data processing, hosting and related activities",COMBUSTION_OF_FUELS,0,0,0,0,CPS_NOT_APPLICABLE,R6_industrial_combustion
EA,Amazon Data Services UK Limited,OPERATOR_HOLDING_ACCOUNT,OPEN,1001049,UK-E-IN-14192,Swindon Datacentre,2022,,,8.0,18.0,14.0,40,41,,A,A,A,6311,"Data processing, hosting and related activities",COMBUSTION_OF_FUELS,0,0,0,0,CPS_NOT_APPLICABLE,R6_industrial_combustion
EA,Amazon Data Services UK Limited,OPERATOR_HOLDING_ACCOUNT,OPEN,1001050,UK-E-IN-14191,Didcot Datacentre,2022,,,5.0,31.0,19.0,55,56,,A,A,A,6311,"Data processing, hosting and related activities",COMBUSTION_OF_FUELS,0,0,0,0,CPS_NOT_APPLICABLE,R6_industrial_combustion
OPRED,Shell UK Limited,OPERATOR_HOLDING_ACCOUNT,OPEN,1001051,UK-D-IN-14155,Haewene Brim,2022,,,20142.0,66399.0,71529.0,158070,158070,,A,A,A,610,Extraction of crude petroleum,COMBUSTION_OF_FUELS,13409,13409,14703,14703,CPS_NOT_APPLICABLE,R2_offshore
EA,SOF-11 Docklands DC UK Bidco Ltd,OPERATOR_HOLDING_ACCOUNT,OPEN,1001053,UK-E-IN-14083,LCY10 Datacentre,2023,,,,31.0,13.0,44,44,,NOT_APPLICABLE,A,A,6311,"Data processing, hosting and related activities",COMBUSTION_OF_FUELS,0,0,0,0,CPS_NOT_APPLICABLE,R6_industrial_combustion
EA,Burtonhead Road Power Limited,OPERATOR_HOLDING_ACCOUNT,OPEN,1001056,UK-E-IN-14268,Burtonhead Road,2023,,,,5865.0,5469.0,11334,11334,,NOT_APPLICABLE,A,A,3511,Production of electricity,COMBUSTION_OF_FUELS,0,0,0,0,CPS_COVERED,R5_electricity_combustion
EA,Lighthouse Green Fuels Limited,OPERATOR_HOLDING_ACCOUNT,OPEN,1001058,UK-E-IN-14255,Lighthouse Green Fuels,2025,,,,,,0,0,,NOT_APPLICABLE,NOT_APPLICABLE,NOT_APPLICABLE,,,COMBUSTION_OF_FUELS,0,0,0,0,CPS_NOT_APPLICABLE,R6_industrial_combustion
EA,Amazon Data Services UK Limited,OPERATOR_HOLDING_ACCOUNT,OPEN,1001059,UK-E-IN-14150,Slough LON2 Datacentre,2023,,,,188.0,220.0,408,408,,NOT_APPLICABLE,A,A,6311,"Data processing, hosting and related activities",COMBUSTION_OF_FUELS,0,0,0,0,CPS_NOT_APPLICABLE,R6_industrial_combustion
EA,VIRTUS LONDON 8 LIMITED,OPERATOR_HOLDING_ACCOUNT,OPEN,1001065,UK-E-IN-14276,London 8,2022,,,33.0,146.0,195.0,374,374,,A,A,A,6311,"Data processing, hosting and related activities",COMBUSTION_OF_FUELS,0,0,0,0,CPS_NOT_APPLICABLE,R6_industrial_combustion
SEPA,Velox Power Limited,OPERATOR_HOLDING_ACCOUNT,OPEN,1001066,UK-S-IN-13864,Abbotshaugh Power Plant,2025,,,,,,0,0,,NOT_APPLICABLE,A,NOT_APPLICABLE,3511,Production of electricity,COMBUSTION_OF_FUELS,0,0,0,0,CPS_COVERED,R5_electricity_combustion
NRW,Velox Power Limited,OPERATOR_HOLDING_ACCOUNT,OPEN,1001076,UK-W-IN-13859,Beaufort Power Station,2023,,,,0.0,0.0,0,0,,NOT_APPLICABLE,A,A,3511,Production of electricity,COMBUSTION_OF_FUELS,0,0,0,0,CPS_COVERED,R5_electricity_combustion
EA,Sky Limited,OPERATOR_HOLDING_ACCOUNT,OPEN,1001115,UK-E-IN-14331,Osterley Main Site,2023,,,,1708.0,1444.0,3152,3152,,NOT_APPLICABLE,A,A,6020,Television programming and broadcasting activities,COMBUSTION_OF_FUELS,450,450,450,450,CPS_NOT_APPLICABLE,R6_industrial_combustion
EA,RWG (Repair & Overhauls) Limited,OPERATOR_HOLDING_ACCOUNT,OPEN,1001116,UK-E-IN-14335,RWG Ansty,2023,,,,2175.0,2281.0,4456,4456,,NOT_APPLICABLE,B,A,7112,Engineering activities and related technical consultancy,COMBUSTION_OF_FUELS,491,491,491,491,CPS_NOT_APPLICABLE,R6_industrial_combustion
EA,Essity UK Limited,OPERATOR_HOLDING_ACCOUNT,OPEN,1001156,UK-E-IN-13542,Essity UK Limited - Tawd Mill,2023,,,,15255.0,13087.0,28342,28342,,NOT_APPLICABLE,A,A,1712,Manufacture of paper and paperboard,PRODUCTION_OF_PAPER_OR_CARDBOARD,0,0,0,0,CPS_NOT_APPLICABLE,R7_process_activity
SEPA,Score Energy Limited,OPERATOR_HOLDING_ACCOUNT,OPEN,1001166,UK-S-IN-14342,Score Energy Limited,2023,,,,717.0,540.0,1257,1257,,NOT_APPLICABLE,A,A,3299,Other manufacturing n.e.c. ,COMBUSTION_OF_FUELS,0,0,0,0,CPS_NOT_APPLICABLE,R6_industrial_combustion
SEPA,Caledon Green Generation Limited,OPERATOR_HOLDING_ACCOUNT,OPEN,1001193,UK-S-IN-14395,Caledon Green,2023,,,,6724.0,7295.0,14019,14019,,NOT_APPLICABLE,A,A,3511,Production of electricity,COMBUSTION_OF_FUELS,0,0,0,0,CPS_COVERED,R5_electricity_combustion
EA,DIGITAL LONDON LIMITED,OPERATOR_HOLDING_ACCOUNT,OPEN,1001206,UK-E-IN-14425,LHR19 – Back-up Generators,2023,,,,51.0,48.0,99,99,,,A,A,6311,"Data processing, hosting and related activities",COMBUSTION_OF_FUELS,0,0,0,0,CPS_NOT_APPLICABLE,R6_industrial_combustion
EA,Carrington Generation Limited,OPERATOR_HOLDING_ACCOUNT,OPEN,1001207,UK-E-IN-14442,Carrington,2023,,,,1098.0,15176.0,16274,16274,,,A,A,3511,Production of electricity,COMBUSTION_OF_FUELS,0,0,0,0,CPS_COVERED,R5_electricity_combustion
EA,Amazon Data Services UK Limited,OPERATOR_HOLDING_ACCOUNT,OPEN,1001208,UK-E-IN-14416,Hayes Data Centre,2023,,,,0.0,6.0,6,241,,,A,A,6311,"Data processing, hosting and related activities",COMBUSTION_OF_FUELS,0,0,0,0,CPS_NOT_APPLICABLE,R6_industrial_combustion
SEPA,Abercorn Generation Limited,OPERATOR_HOLDING_ACCOUNT,OPEN,1001209,UK-S-IN-14444,Abercorn,2023,,,,1931.0,6095.0,8026,8026,,,A,A,3511,Production of electricity,COMBUSTION_OF_FUELS,0,0,0,0,CPS_COVERED,R5_electricity_combustion
SEPA,Erskine Generation Limited,OPERATOR_HOLDING_ACCOUNT,OPEN,1001210,UK-S-IN-14443,Erskine,2023,,,,583.0,6236.0,6819,6819,,,A,A,3511,Production of electricity,COMBUSTION_OF_FUELS,0,0,0,0,CPS_COVERED,R5_electricity_combustion
EA,Centrica Barry Ltd,OPERATOR_HOLDING_ACCOUNT,OPEN,1001211,UK-E-IN-14447,Redditch Peaking Power Plant,2023,,,,47.0,2436.0,2483,2483,,,A,A,3511,Production of electricity,COMBUSTION_OF_FUELS,0,0,0,0,CPS_COVERED,R5_electricity_combustion
EA,Crisp Malting Group Limited,OPERATOR_HOLDING_ACCOUNT,OPEN,1001212,UK-E-IN-14417,Crisp Maltings - Great Ryburgh,2023,,,,8188.0,8983.0,17171,17171,,,A,A,1106,Manufacture of malt,COMBUSTION_OF_FUELS,0,0,0,0,CPS_NOT_APPLICABLE,R6_industrial_combustion
EA,HM Agecroft Ltd,OPERATOR_HOLDING_ACCOUNT,OPEN,1001213,UK-E-IN-14334,HM Agecroft,2025,,,,,,0,0,,,NOT_APPLICABLE,NOT_APPLICABLE,,,COMBUSTION_OF_FUELS,0,0,0,0,CPS_NOT_APPLICABLE,R6_industrial_combustion
EA,Amazon Data Services UK Limited,OPERATOR_HOLDING_ACCOUNT,OPEN,1001214,UK-E-IN-14415,Hemel Hempstead Data Centre,2023,,,,34.0,14.0,48,49,,,A,A,6311,"Data processing, hosting and related activities",COMBUSTION_OF_FUELS,0,0,0,0,CPS_NOT_APPLICABLE,R6_industrial_combustion
EA,Whitewall Power Ltd,OPERATOR_HOLDING_ACCOUNT,OPEN,1001219,UK-E-IN-14431,Whitewall Power,2023,,,,2163.0,8468.0,10631,10631,,,A,A,3511,Production of electricity,COMBUSTION_OF_FUELS,0,0,0,0,CPS_COVERED,R5_electricity_combustion
EA,VIRTUS LONDON 11 LIMITED,OPERATOR_HOLDING_ACCOUNT,OPEN,1001222,UK-E-IN-14967,London 11,2023,,,,71.0,33.0,104,104,,,A,A,6311,"Data processing, hosting and related activities",COMBUSTION_OF_FUELS,0,0,0,0,CPS_NOT_APPLICABLE,R6_industrial_combustion
EA,Sutton Bridge Power Generation,OPERATOR_HOLDING_ACCOUNT,OPEN,1001223,UK-E-IN-14976,Sutton Bridge Power Station,2023,,,,4275.0,146443.0,150718,150718,,,A,A,3511,Production of electricity,COMBUSTION_OF_FUELS,0,0,0,0,CPS_COVERED,R5_electricity_combustion
